Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Cross-reference (STRING)
Q8YC48	GLMU_BRUME	reviewed	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU BMEII0684	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	224914.BAWG_1889;
Q8YD09	HUTIH_BRUME	reviewed	Bifunctional imidazolonepropionase/histidine ammonia-lyase [Includes: Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase); Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)]	hutIH BMEII0368	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]	224914.BAWG_2195;
Q8YH27	Q8YH27_BRUME	unreviewed	Multifunctional fusion protein [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)]	nnrE nnrD BMEI0977	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	nicotinamide nucleotide metabolic process [GO:0046496]	224914.BAWG_1227;
Q8YBC6	NOSZ_BRUME	reviewed	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)	nosZ BMEII0973/BMEII0974	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	denitrification pathway [GO:0019333]	224914.BAWG_1624;
Q8YGH2	RISB1_BRUME	reviewed	6,7-dimethyl-8-ribityllumazine synthase 1 (DMRL synthase 1) (LS 1) (Lumazine synthase 1) (EC 2.5.1.78) (Type I lumazine synthase)	ribH1 BMEI1187	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	riboflavin biosynthetic process [GO:0009231]	224914.BAWG_1022;
Q8YC53	LOVHK_BRUME	reviewed	Blue-light-activated histidine kinase (EC 2.7.13.3) (BM-LOV-histidine kinase) (BM-LOV-HK)	BMEII0679	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	pathogenesis [GO:0009405]; protein-chromophore linkage [GO:0018298]	224914.BAWG_1895;
Q8YI71	MURE_BRUME	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE BMEI0574	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	224914.BAWG_2549;
Q8YIG1	KPRS_BRUME	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs BMEI0483	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	224914.BAWG_2459;
Q8YEL1	RLMN_BRUME	reviewed	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN BMEI1867	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	rRNA base methylation [GO:0070475]	224914.BAWG_0372;
P0A326	CATA_BRUME	reviewed	Catalase (EC 1.11.1.6)	katA BMEII0893	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	224914.BAWG_1692;
